año,token_principal,ngrama,freq_conjunta
2020,avanzados,desarrollo,6
2020,avanzados,investigación,4
2020,avanzados,empresas,3
2020,avanzados,fibra,3
2006,avanzando,digital,9
2006,avanzando,puerto,8
2006,avanzando,materia,7
2006,avanzando,además,6
2006,avanzando,proyecto,6
2007,avanzando,digital,18
2007,avanzando,puerto,16
2007,avanzando,materia,14
2007,avanzando,además,12
2007,avanzando,proyecto,12
2010,avanzando,digital,9
2010,avanzando,puerto,8
2010,avanzando,materia,7
2010,avanzando,además,6
2010,avanzando,proyecto,6
2011,avanzando,digital,9
2011,avanzando,puerto,8
2011,avanzando,materia,7
2011,avanzando,además,6
2011,avanzando,proyecto,6
2012,avanzando,digital,9
2012,avanzando,puerto,8
2012,avanzando,materia,7
2012,avanzando,además,6
2012,avanzando,proyecto,6
2013,avanzando,digital,9
2013,avanzando,puerto,8
2013,avanzando,materia,7
2013,avanzando,además,6
2013,avanzando,proyecto,6
2018,avanzando,digital,9
2018,avanzando,puerto,8
2018,avanzando,materia,7
2018,avanzando,además,6
2018,avanzando,proyecto,6
2019,avanzando,digital,36
2019,avanzando,puerto,32
2019,avanzando,materia,28
2019,avanzando,además,24
2019,avanzando,proyecto,24
2021,avanzando,digital,9
2021,avanzando,puerto,8
2021,avanzando,materia,7
2021,avanzando,además,6
2021,avanzando,proyecto,6
2023,avanzando,digital,9
2023,avanzando,puerto,8
2023,avanzando,materia,7
2023,avanzando,además,6
2023,avanzando,proyecto,6
2024,avanzando,digital,9
2024,avanzando,puerto,8
2024,avanzando,materia,7
2024,avanzando,además,6
2024,avanzando,proyecto,6
2025,avanzando,digital,9
2025,avanzando,puerto,8
2025,avanzando,materia,7
2025,avanzando,además,6
2025,avanzando,proyecto,6
2000,avanzar,vamos,74
2000,avanzar,desarrollo,40
2000,avanzar,mundo,28
2000,avanzar,sistema,28
2000,avanzar,calidad,24
2001,avanzar,vamos,37
2001,avanzar,desarrollo,20
2001,avanzar,mundo,14
2001,avanzar,sistema,14
2001,avanzar,calidad,12
2002,avanzar,vamos,37
2002,avanzar,desarrollo,20
2002,avanzar,mundo,14
2002,avanzar,sistema,14
2002,avanzar,calidad,12
2007,avanzar,vamos,37
2007,avanzar,desarrollo,20
2007,avanzar,mundo,14
2007,avanzar,sistema,14
2007,avanzar,calidad,12
2009,avanzar,vamos,37
2009,avanzar,desarrollo,20
2009,avanzar,mundo,14
2009,avanzar,sistema,14
2009,avanzar,calidad,12
2013,avanzar,vamos,37
2013,avanzar,desarrollo,20
2013,avanzar,mundo,14
2013,avanzar,sistema,14
2013,avanzar,calidad,12
2015,avanzar,vamos,74
2015,avanzar,desarrollo,40
2015,avanzar,mundo,28
2015,avanzar,sistema,28
2015,avanzar,calidad,24
2018,avanzar,vamos,222
2018,avanzar,desarrollo,120
2018,avanzar,mundo,84
2018,avanzar,sistema,84
2018,avanzar,calidad,72
2020,avanzar,vamos,37
2020,avanzar,desarrollo,20
2020,avanzar,mundo,14
2020,avanzar,sistema,14
2020,avanzar,calidad,12
2022,avanzar,vamos,37
2022,avanzar,desarrollo,20
2022,avanzar,mundo,14
2022,avanzar,sistema,14
2022,avanzar,calidad,12
2023,avanzar,vamos,37
2023,avanzar,desarrollo,20
2023,avanzar,mundo,14
2023,avanzar,sistema,14
2023,avanzar,calidad,12
2024,avanzar,vamos,111
2024,avanzar,desarrollo,60
2024,avanzar,mundo,42
2024,avanzar,sistema,42
2024,avanzar,calidad,36
2007,avanzaremos,digital,6
2007,avanzaremos,ley,4
2007,avanzaremos,modernizar,4
2007,avanzaremos,además,3
2007,avanzaremos,agenda,3
2010,avanzaremos,digital,12
2010,avanzaremos,ley,8
2010,avanzaremos,modernizar,8
2010,avanzaremos,además,6
2010,avanzaremos,agenda,6
2011,avanzaremos,digital,6
2011,avanzaremos,ley,4
2011,avanzaremos,modernizar,4
2011,avanzaremos,además,3
2011,avanzaremos,agenda,3
2018,avanzaremos,digital,12
2018,avanzaremos,ley,8
2018,avanzaremos,modernizar,8
2018,avanzaremos,además,6
2018,avanzaremos,agenda,6
2022,avanzaremos,digital,6
2022,avanzaremos,ley,4
2022,avanzaremos,modernizar,4
2022,avanzaremos,además,3
2022,avanzaremos,agenda,3
2004,aysén,regiones,8
2004,aysén,puerto,7
2004,aysén,carretera,5
2004,aysén,desarrollo,4
2004,aysén,fibra,4
2007,aysén,regiones,8
2007,aysén,puerto,7
2007,aysén,carretera,5
2007,aysén,desarrollo,4
2007,aysén,fibra,4
2008,aysén,regiones,8
2008,aysén,puerto,7
2008,aysén,carretera,5
2008,aysén,desarrollo,4
2008,aysén,fibra,4
2013,aysén,regiones,8
2013,aysén,puerto,7
2013,aysén,carretera,5
2013,aysén,desarrollo,4
2013,aysén,fibra,4
2015,aysén,regiones,8
2015,aysén,puerto,7
2015,aysén,carretera,5
2015,aysén,desarrollo,4
2015,aysén,fibra,4
2016,aysén,regiones,8
2016,aysén,puerto,7
2016,aysén,carretera,5
2016,aysén,desarrollo,4
2016,aysén,fibra,4
2017,aysén,regiones,8
2017,aysén,puerto,7
2017,aysén,carretera,5
2017,aysén,desarrollo,4
2017,aysén,fibra,4
2019,aysén,regiones,16
2019,aysén,puerto,14
2019,aysén,carretera,10
2019,aysén,desarrollo,8
2019,aysén,fibra,8
2004,banda,ancha,27
2004,banda,internet,21
2004,banda,escuelas,12
2004,banda,localidades,12
2004,banda,telecomunicaciones,12
2009,banda,ancha,9
2009,banda,internet,7
2009,banda,escuelas,4
2009,banda,localidades,4
2009,banda,telecomunicaciones,4
2010,banda,ancha,9
2010,banda,internet,7
2010,banda,escuelas,4
2010,banda,localidades,4
2010,banda,telecomunicaciones,4
2011,banda,ancha,9
2011,banda,internet,7
2011,banda,escuelas,4
2011,banda,localidades,4
2011,banda,telecomunicaciones,4
2012,banda,ancha,27
2012,banda,internet,21
2012,banda,escuelas,12
2012,banda,localidades,12
2012,banda,telecomunicaciones,12
2016,banda,ancha,9
2016,banda,internet,7
2016,banda,escuelas,4
2016,banda,localidades,4
2016,banda,telecomunicaciones,4
1996,base,desarrollo,8
1996,base,materia,8
1996,base,acero,6
1996,base,hace,6
1996,base,tecnología,6
2008,base,desarrollo,4
2008,base,materia,4
2008,base,acero,3
2008,base,hace,3
2008,base,tecnología,3
2017,base,desarrollo,8
2017,base,materia,8
2017,base,acero,6
2017,base,hace,6
2017,base,tecnología,6
2023,base,desarrollo,4
2023,base,materia,4
2023,base,acero,3
2023,base,hace,3
2023,base,tecnología,3
2024,base,desarrollo,8
2024,base,materia,8
2024,base,acero,6
2024,base,hace,6
2024,base,tecnología,6
1996,bases,innovación,5
1996,bases,desarrollo,3
1996,bases,economía,3
1996,bases,sólo,3
1996,bases,licitación,2
2009,bases,innovación,5
2009,bases,desarrollo,3
2009,bases,economía,3
2009,bases,sólo,3
2009,bases,licitación,2
2013,bases,innovación,5
2013,bases,desarrollo,3
2013,bases,economía,3
2013,bases,sólo,3
2013,bases,licitación,2
2017,bases,innovación,15
2017,bases,desarrollo,9
2017,bases,economía,9
2017,bases,sólo,9
2017,bases,licitación,6
2022,bases,innovación,5
2022,bases,desarrollo,3
2022,bases,economía,3
2022,bases,sólo,3
2022,bases,licitación,2
2006,basta,enfermedades,4
2006,basta,auge,3
2006,basta,construir,3
2006,basta,necesitamos,3
2006,basta,pacientes,3
2011,basta,enfermedades,4
2011,basta,auge,3
2011,basta,construir,3
2011,basta,necesitamos,3
2011,basta,pacientes,3
2012,basta,enfermedades,4
2012,basta,auge,3
2012,basta,construir,3
2012,basta,necesitamos,3
2012,basta,pacientes,3
2013,basta,enfermedades,4
2013,basta,auge,3
2013,basta,construir,3
2013,basta,necesitamos,3
2013,basta,pacientes,3
2017,basta,enfermedades,4
2017,basta,auge,3
2017,basta,construir,3
2017,basta,necesitamos,3
2017,basta,pacientes,3
2004,beneficios,desarrollo,3
2004,beneficios,países,3
2004,beneficios,bío,2
2004,beneficios,carnes,2
2004,beneficios,cerca,2
2006,beneficios,desarrollo,3
2006,beneficios,países,3
2006,beneficios,bío,2
2006,beneficios,carnes,2
2006,beneficios,cerca,2
2015,beneficios,desarrollo,3
2015,beneficios,países,3
2015,beneficios,bío,2
2015,beneficios,carnes,2
2015,beneficios,cerca,2
2018,beneficios,desarrollo,3
2018,beneficios,países,3
2018,beneficios,bío,2
2018,beneficios,carnes,2
2018,beneficios,cerca,2
2022,beneficios,desarrollo,3
2022,beneficios,países,3
2022,beneficios,bío,2
2022,beneficios,carnes,2
2022,beneficios,cerca,2
2024,beneficios,desarrollo,3
2024,beneficios,países,3
2024,beneficios,bío,2
2024,beneficios,carnes,2
2024,beneficios,cerca,2
2006,bienes,vamos,14
2006,bienes,servicios,9
2006,bienes,desarrollo,8
2006,bienes,sociedad,7
2006,bienes,acceso,6
2012,bienes,vamos,14
2012,bienes,servicios,9
2012,bienes,desarrollo,8
2012,bienes,sociedad,7
2012,bienes,acceso,6
2018,bienes,vamos,28
2018,bienes,servicios,18
2018,bienes,desarrollo,16
2018,bienes,sociedad,14
2018,bienes,acceso,12
2019,bienes,vamos,14
2019,bienes,servicios,9
2019,bienes,desarrollo,8
2019,bienes,sociedad,7
2019,bienes,acceso,6
2020,bienes,vamos,14
2020,bienes,servicios,9
2020,bienes,desarrollo,8
2020,bienes,sociedad,7
2020,bienes,acceso,6
2008,biocombustibles,desarrollar,10
2008,biocombustibles,biocombustibles,8
2008,biocombustibles,consorcios,8
2008,biocombustibles,solar,8
2008,biocombustibles,energías,6
2009,biocombustibles,desarrollar,10
2009,biocombustibles,biocombustibles,8
2009,biocombustibles,consorcios,8
2009,biocombustibles,solar,8
2009,biocombustibles,energías,6
2012,biocombustibles,desarrollar,5
2012,biocombustibles,biocombustibles,4
2012,biocombustibles,consorcios,4
2012,biocombustibles,solar,4
2012,biocombustibles,energías,3
2000,brecha,digital,8
2000,brecha,internet,4
2000,brecha,computador,3
2000,brecha,conectividad,3
2000,brecha,dos,3
2001,brecha,digital,8
2001,brecha,internet,4
2001,brecha,computador,3
2001,brecha,conectividad,3
2001,brecha,dos,3
2002,brecha,digital,8
2002,brecha,internet,4
2002,brecha,computador,3
2002,brecha,conectividad,3
2002,brecha,dos,3
2003,brecha,digital,8
2003,brecha,internet,4
2003,brecha,computador,3
2003,brecha,conectividad,3
2003,brecha,dos,3
2004,brecha,digital,8
2004,brecha,internet,4
2004,brecha,computador,3
2004,brecha,conectividad,3
2004,brecha,dos,3
2005,brecha,digital,8
2005,brecha,internet,4
2005,brecha,computador,3
2005,brecha,conectividad,3
2005,brecha,dos,3
2007,brecha,digital,8
2007,brecha,internet,4
2007,brecha,computador,3
2007,brecha,conectividad,3
2007,brecha,dos,3
2012,brecha,digital,8
2012,brecha,internet,4
2012,brecha,computador,3
2012,brecha,conectividad,3
2012,brecha,dos,3
2014,brecha,digital,8
2014,brecha,internet,4
2014,brecha,computador,3
2014,brecha,conectividad,3
2014,brecha,dos,3
2022,brecha,digital,16
2022,brecha,internet,8
2022,brecha,computador,6
2022,brecha,conectividad,6
2022,brecha,dos,6
2007,buses,buses,12
2007,buses,eléctricos,10
2007,buses,red,9
2007,buses,proyecto,8
2007,buses,transporte,7
2011,buses,buses,12
2011,buses,eléctricos,10
2011,buses,red,9
2011,buses,proyecto,8
2011,buses,transporte,7
2018,buses,buses,12
2018,buses,eléctricos,10
2018,buses,red,9
2018,buses,proyecto,8
2018,buses,transporte,7
2019,buses,buses,48
2019,buses,eléctricos,40
2019,buses,red,36
2019,buses,proyecto,32
2019,buses,transporte,28
2021,buses,buses,12
2021,buses,eléctricos,10
2021,buses,red,9
2021,buses,proyecto,8
2021,buses,transporte,7
2000,básico,niños,5
2000,básico,alumnos,4
2000,básico,computadores,4
2000,básico,educación,4
2000,básico,estudiantes,4
2008,básico,niños,10
2008,básico,alumnos,8
2008,básico,computadores,8
2008,básico,educación,8
2008,básico,estudiantes,8
2009,básico,niños,10
2009,básico,alumnos,8
2009,básico,computadores,8
2009,básico,educación,8
2009,básico,estudiantes,8
2012,básico,niños,10
2012,básico,alumnos,8
2012,básico,computadores,8
2012,básico,educación,8
2012,básico,estudiantes,8
2015,básico,niños,5
2015,básico,alumnos,4
2015,básico,computadores,4
2015,básico,educación,4
2015,básico,estudiantes,4
2016,básico,niños,10
2016,básico,alumnos,8
2016,básico,computadores,8
2016,básico,educación,8
2016,básico,estudiantes,8
2022,básico,niños,5
2022,básico,alumnos,4
2022,básico,computadores,4
2022,básico,educación,4
2022,básico,estudiantes,4
2004,bío,bío,12
2004,bío,embalses,12
2004,bío,regiones,12
2004,bío,región,12
2004,bío,agua,8
2007,bío,bío,12
2007,bío,embalses,12
2007,bío,regiones,12
2007,bío,región,12
2007,bío,agua,8
2012,bío,bío,12
2012,bío,embalses,12
2012,bío,regiones,12
2012,bío,región,12
2012,bío,agua,8
2013,cable,fibra,11
2013,cable,óptica,11
2013,cable,digital,10
2013,cable,puerto,9
2013,cable,submarino,8
2018,cable,fibra,11
2018,cable,óptica,11
2018,cable,digital,10
2018,cable,puerto,9
2018,cable,submarino,8
2019,cable,fibra,11
2019,cable,óptica,11
2019,cable,digital,10
2019,cable,puerto,9
2019,cable,submarino,8
2020,cable,fibra,11
2020,cable,óptica,11
2020,cable,digital,10
2020,cable,puerto,9
2020,cable,submarino,8
2021,cable,fibra,11
2021,cable,óptica,11
2021,cable,digital,10
2021,cable,puerto,9
2021,cable,submarino,8
2024,cable,fibra,22
2024,cable,óptica,22
2024,cable,digital,20
2024,cable,puerto,18
2024,cable,submarino,16
2025,cable,fibra,22
2025,cable,óptica,22
2025,cable,digital,20
2025,cable,puerto,18
2025,cable,submarino,16
2000,cada,tecnología,90
2000,cada,cada,84
2000,cada,vamos,78
2000,cada,sistema,72
2000,cada,vida,72
2001,cada,tecnología,15
2001,cada,cada,14
2001,cada,vamos,13
2001,cada,sistema,12
2001,cada,vida,12
2002,cada,tecnología,30
2002,cada,cada,28
2002,cada,vamos,26
2002,cada,sistema,24
2002,cada,vida,24
2004,cada,tecnología,45
2004,cada,cada,42
2004,cada,vamos,39
2004,cada,sistema,36
2004,cada,vida,36
2006,cada,tecnología,30
2006,cada,cada,28
2006,cada,vamos,26
2006,cada,sistema,24
2006,cada,vida,24
2007,cada,tecnología,15
2007,cada,cada,14
2007,cada,vamos,13
2007,cada,sistema,12
2007,cada,vida,12
2008,cada,tecnología,45
2008,cada,cada,42
2008,cada,vamos,39
2008,cada,sistema,36
2008,cada,vida,36
2010,cada,tecnología,30
2010,cada,cada,28
2010,cada,vamos,26
2010,cada,sistema,24
2010,cada,vida,24
2011,cada,tecnología,30
2011,cada,cada,28
2011,cada,vamos,26
2011,cada,sistema,24
2011,cada,vida,24
2012,cada,tecnología,30
2012,cada,cada,28
2012,cada,vamos,26
2012,cada,sistema,24
2012,cada,vida,24
2014,cada,tecnología,30
2014,cada,cada,28
2014,cada,vamos,26
2014,cada,sistema,24
2014,cada,vida,24
2015,cada,tecnología,30
2015,cada,cada,28
2015,cada,vamos,26
2015,cada,sistema,24
2015,cada,vida,24
2016,cada,tecnología,45
2016,cada,cada,42
2016,cada,vamos,39
2016,cada,sistema,36
2016,cada,vida,36
2017,cada,tecnología,15
2017,cada,cada,14
2017,cada,vamos,13
2017,cada,sistema,12
2017,cada,vida,12
2018,cada,tecnología,30
2018,cada,cada,28
2018,cada,vamos,26
2018,cada,sistema,24
2018,cada,vida,24
2022,cada,tecnología,15
2022,cada,cada,14
2022,cada,vamos,13
2022,cada,sistema,12
2022,cada,vida,12
2023,cada,tecnología,75
2023,cada,cada,70
2023,cada,vamos,65
2023,cada,sistema,60
2023,cada,vida,60
1996,calidad,vamos,86
1996,calidad,mejorar,68
1996,calidad,vida,66
1996,calidad,fuerzas,50
1996,calidad,calidad,48
2003,calidad,vamos,43
2003,calidad,mejorar,34
2003,calidad,vida,33
2003,calidad,fuerzas,25
2003,calidad,calidad,24
2007,calidad,vamos,43
2007,calidad,mejorar,34
2007,calidad,vida,33
2007,calidad,fuerzas,25
2007,calidad,calidad,24
2008,calidad,vamos,43
2008,calidad,mejorar,34
2008,calidad,vida,33
2008,calidad,fuerzas,25
2008,calidad,calidad,24
2010,calidad,vamos,43
2010,calidad,mejorar,34
2010,calidad,vida,33
2010,calidad,fuerzas,25
2010,calidad,calidad,24
2012,calidad,vamos,129
2012,calidad,mejorar,102
2012,calidad,vida,99
2012,calidad,fuerzas,75
2012,calidad,calidad,72
2013,calidad,vamos,86
2013,calidad,mejorar,68
2013,calidad,vida,66
2013,calidad,fuerzas,50
2013,calidad,calidad,48
2014,calidad,vamos,258
2014,calidad,mejorar,204
2014,calidad,vida,198
2014,calidad,fuerzas,150
2014,calidad,calidad,144
2015,calidad,vamos,129
2015,calidad,mejorar,102
2015,calidad,vida,99
2015,calidad,fuerzas,75
2015,calidad,calidad,72
2016,calidad,vamos,43
2016,calidad,mejorar,34
2016,calidad,vida,33
2016,calidad,fuerzas,25
2016,calidad,calidad,24
2018,calidad,vamos,516
2018,calidad,mejorar,408
2018,calidad,vida,396
2018,calidad,fuerzas,300
2018,calidad,calidad,288
2019,calidad,vamos,129
2019,calidad,mejorar,102
2019,calidad,vida,99
2019,calidad,fuerzas,75
2019,calidad,calidad,72
2020,calidad,vamos,86
2020,calidad,mejorar,68
2020,calidad,vida,66
2020,calidad,fuerzas,50
2020,calidad,calidad,48
2022,calidad,vamos,43
2022,calidad,mejorar,34
2022,calidad,vida,33
2022,calidad,fuerzas,25
2022,calidad,calidad,24
2023,calidad,vamos,86
2023,calidad,mejorar,68
2023,calidad,vida,66
2023,calidad,fuerzas,50
2023,calidad,calidad,48
2024,calidad,vamos,43
2024,calidad,mejorar,34
2024,calidad,vida,33
2024,calidad,fuerzas,25
2024,calidad,calidad,24
2025,calidad,vamos,43
2025,calidad,mejorar,34
2025,calidad,vida,33
2025,calidad,fuerzas,25
2025,calidad,calidad,24
2008,cambio,vamos,9
2008,cambio,mundo,7
2008,cambio,sociedad,7
2008,cambio,digital,6
2008,cambio,además,5
2009,cambio,vamos,9
2009,cambio,mundo,7
2009,cambio,sociedad,7
2009,cambio,digital,6
2009,cambio,además,5
2014,cambio,vamos,9
2014,cambio,mundo,7
2014,cambio,sociedad,7
2014,cambio,digital,6
2014,cambio,además,5
2018,cambio,vamos,18
2018,cambio,mundo,14
2018,cambio,sociedad,14
2018,cambio,digital,12
2018,cambio,además,10
2019,cambio,vamos,18
2019,cambio,mundo,14
2019,cambio,sociedad,14
2019,cambio,digital,12
2019,cambio,además,10
2020,cambio,vamos,18
2020,cambio,mundo,14
2020,cambio,sociedad,14
2020,cambio,digital,12
2020,cambio,además,10
2024,cambio,vamos,18
2024,cambio,mundo,14
2024,cambio,sociedad,14
2024,cambio,digital,12
2024,cambio,además,10
1996,cambios,ley,4
1996,cambios,litio,4
1996,cambios,lugar,3
1996,cambios,marcha,3
1996,cambios,producción,3
2013,cambios,ley,4
2013,cambios,litio,4
2013,cambios,lugar,3
2013,cambios,marcha,3
2013,cambios,producción,3
2014,cambios,ley,4
2014,cambios,litio,4
2014,cambios,lugar,3
2014,cambios,marcha,3
2014,cambios,producción,3
2021,cambios,ley,4
2021,cambios,litio,4
2021,cambios,lugar,3
2021,cambios,marcha,3
2021,cambios,producción,3
2024,cambios,ley,4
2024,cambios,litio,4
2024,cambios,lugar,3
2024,cambios,marcha,3
2024,cambios,producción,3
2007,camino,litio,8
2007,camino,ello,6
2007,camino,materia,6
2007,camino,mundo,6
2007,camino,avanzando,4
2009,camino,litio,4
2009,camino,ello,3
2009,camino,materia,3
2009,camino,mundo,3
2009,camino,avanzando,2
2022,camino,litio,4
2022,camino,ello,3
2022,camino,materia,3
2022,camino,mundo,3
2022,camino,avanzando,2
2023,camino,litio,8
2023,camino,ello,6
2023,camino,materia,6
2023,camino,mundo,6
2023,camino,avanzando,4
2025,camino,litio,4
2025,camino,ello,3
2025,camino,materia,3
2025,camino,mundo,3
2025,camino,avanzando,2
2007,caminos,infraestructura,10
2007,caminos,plan,8
2007,caminos,transporte,8
2007,caminos,agua,6
2007,caminos,crear,6
2011,caminos,infraestructura,5
2011,caminos,plan,4
2011,caminos,transporte,4
2011,caminos,agua,3
2011,caminos,crear,3
2012,caminos,infraestructura,5
2012,caminos,plan,4
2012,caminos,transporte,4
2012,caminos,agua,3
2012,caminos,crear,3
2020,caminos,infraestructura,5
2020,caminos,plan,4
2020,caminos,transporte,4
2020,caminos,agua,3
2020,caminos,crear,3
2021,caminos,infraestructura,5
2021,caminos,plan,4
2021,caminos,transporte,4
2021,caminos,agua,3
2021,caminos,crear,3
2023,caminos,infraestructura,5
2023,caminos,plan,4
2023,caminos,transporte,4
2023,caminos,agua,3
2023,caminos,crear,3
1996,campo,vamos,22
1996,campo,desarrollo,13
1996,campo,acceso,9
1996,campo,calidad,9
1996,campo,promover,9
2001,campo,vamos,44
2001,campo,desarrollo,26
2001,campo,acceso,18
2001,campo,calidad,18
2001,campo,promover,18
2010,campo,vamos,22
2010,campo,desarrollo,13
2010,campo,acceso,9
2010,campo,calidad,9
2010,campo,promover,9
2012,campo,vamos,22
2012,campo,desarrollo,13
2012,campo,acceso,9
2012,campo,calidad,9
2012,campo,promover,9
2016,campo,vamos,22
2016,campo,desarrollo,13
2016,campo,acceso,9
2016,campo,calidad,9
2016,campo,promover,9
2018,campo,vamos,88
2018,campo,desarrollo,52
2018,campo,acceso,36
2018,campo,calidad,36
2018,campo,promover,36
2019,campo,vamos,22
2019,campo,desarrollo,13
2019,campo,acceso,9
2019,campo,calidad,9
2019,campo,promover,9
2024,campo,vamos,22
2024,campo,desarrollo,13
2024,campo,acceso,9
2024,campo,calidad,9
2024,campo,promover,9
2000,capacidad,mejorar,9
2000,capacidad,vamos,9
2000,capacidad,energía,8
2000,capacidad,fuerzas,8
2000,capacidad,innovación,8
2003,capacidad,mejorar,18
2003,capacidad,vamos,18
2003,capacidad,energía,16
2003,capacidad,fuerzas,16
2003,capacidad,innovación,16
2004,capacidad,mejorar,9
2004,capacidad,vamos,9
2004,capacidad,energía,8
2004,capacidad,fuerzas,8
2004,capacidad,innovación,8
2006,capacidad,mejorar,9
2006,capacidad,vamos,9
2006,capacidad,energía,8
2006,capacidad,fuerzas,8
2006,capacidad,innovación,8
2008,capacidad,mejorar,9
2008,capacidad,vamos,9
2008,capacidad,energía,8
2008,capacidad,fuerzas,8
2008,capacidad,innovación,8
2010,capacidad,mejorar,9
2010,capacidad,vamos,9
2010,capacidad,energía,8
2010,capacidad,fuerzas,8
2010,capacidad,innovación,8
2011,capacidad,mejorar,18
2011,capacidad,vamos,18
2011,capacidad,energía,16
2011,capacidad,fuerzas,16
2011,capacidad,innovación,16
2012,capacidad,mejorar,36
2012,capacidad,vamos,36
2012,capacidad,energía,32
2012,capacidad,fuerzas,32
2012,capacidad,innovación,32
2018,capacidad,mejorar,54
2018,capacidad,vamos,54
2018,capacidad,energía,48
2018,capacidad,fuerzas,48
2018,capacidad,innovación,48
2020,capacidad,mejorar,36
2020,capacidad,vamos,36
2020,capacidad,energía,32
2020,capacidad,fuerzas,32
2020,capacidad,innovación,32
2021,capacidad,mejorar,9
2021,capacidad,vamos,9
2021,capacidad,energía,8
2021,capacidad,fuerzas,8
2021,capacidad,innovación,8
2022,capacidad,mejorar,9
2022,capacidad,vamos,9
2022,capacidad,energía,8
2022,capacidad,fuerzas,8
2022,capacidad,innovación,8
2008,capacidades,ciencia,3
2008,capacidades,inteligencia,3
2008,capacidades,puedan,3
2008,capacidades,trabajadores,3
2008,capacidades,artificial,2
2016,capacidades,ciencia,3
2016,capacidades,inteligencia,3
2016,capacidades,puedan,3
2016,capacidades,trabajadores,3
2016,capacidades,artificial,2
2017,capacidades,ciencia,6
2017,capacidades,inteligencia,6
2017,capacidades,puedan,6
2017,capacidades,trabajadores,6
2017,capacidades,artificial,4
2018,capacidades,ciencia,3
2018,capacidades,inteligencia,3
2018,capacidades,puedan,3
2018,capacidades,trabajadores,3
2018,capacidades,artificial,2
2019,capacidades,ciencia,3
2019,capacidades,inteligencia,3
2019,capacidades,puedan,3
2019,capacidades,trabajadores,3
2019,capacidades,artificial,2
2020,capacidades,ciencia,6
2020,capacidades,inteligencia,6
2020,capacidades,puedan,6
2020,capacidades,trabajadores,6
2020,capacidades,artificial,4
2024,capacidades,ciencia,3
2024,capacidades,inteligencia,3
2024,capacidades,puedan,3
2024,capacidades,trabajadores,3
2024,capacidades,artificial,2
1996,capacitación,estudios,6
1996,capacitación,nivelación,6
1996,capacitación,programa,5
1996,capacitación,desarrollo,4
1996,capacitación,información,4
2002,capacitación,estudios,12
2002,capacitación,nivelación,12
2002,capacitación,programa,10
2002,capacitación,desarrollo,8
2002,capacitación,información,8
2003,capacitación,estudios,12
2003,capacitación,nivelación,12
2003,capacitación,programa,10
2003,capacitación,desarrollo,8
2003,capacitación,información,8
2008,capacitación,estudios,6
2008,capacitación,nivelación,6
2008,capacitación,programa,5
2008,capacitación,desarrollo,4
2008,capacitación,información,4
2011,capacitación,estudios,6
2011,capacitación,nivelación,6
2011,capacitación,programa,5
2011,capacitación,desarrollo,4
2011,capacitación,información,4
2015,capacitación,estudios,6
2015,capacitación,nivelación,6
2015,capacitación,programa,5
2015,capacitación,desarrollo,4
2015,capacitación,información,4
2018,capacitación,estudios,6
2018,capacitación,nivelación,6
2018,capacitación,programa,5
2018,capacitación,desarrollo,4
2018,capacitación,información,4
2022,capacitación,estudios,6
2022,capacitación,nivelación,6
2022,capacitación,programa,5
2022,capacitación,desarrollo,4
2022,capacitación,información,4
2002,capacitar,profesores,5
2002,capacitar,internet,3
2002,capacitar,personas,3
2002,capacitar,programa,3
2002,capacitar,tecnologías,3
2004,capacitar,profesores,10
2004,capacitar,internet,6
2004,capacitar,personas,6
2004,capacitar,programa,6
2004,capacitar,tecnologías,6
2011,capacitar,profesores,5
2011,capacitar,internet,3
2011,capacitar,personas,3
2011,capacitar,programa,3
2011,capacitar,tecnologías,3
2014,capacitar,profesores,10
2014,capacitar,internet,6
2014,capacitar,personas,6
2014,capacitar,programa,6
2014,capacitar,tecnologías,6
2001,capitales,digital,5
2001,capitales,modernizar,5
2001,capitales,vida,5
2001,capitales,además,4
2001,capitales,ley,4
2005,capitales,digital,5
2005,capitales,modernizar,5
2005,capitales,vida,5
2005,capitales,además,4
2005,capitales,ley,4
2010,capitales,digital,5
2010,capitales,modernizar,5
2010,capitales,vida,5
2010,capitales,además,4
2010,capitales,ley,4
2018,capitales,digital,5
2018,capitales,modernizar,5
2018,capitales,vida,5
2018,capitales,además,4
2018,capitales,ley,4
2023,capitales,digital,5
2023,capitales,modernizar,5
2023,capitales,vida,5
2023,capitales,además,4
2023,capitales,ley,4
2006,carabineros,labor,3
2006,carabineros,protección,3
2006,carabineros,recursos,3
2006,carabineros,lograr,2
2006,carabineros,narcotráfico,2
2012,carabineros,labor,3
2012,carabineros,protección,3
2012,carabineros,recursos,3
2012,carabineros,lograr,2
2012,carabineros,narcotráfico,2
2018,carabineros,labor,3
2018,carabineros,protección,3
2018,carabineros,recursos,3
2018,carabineros,lograr,2
2018,carabineros,narcotráfico,2
2023,carabineros,labor,3
2023,carabineros,protección,3
2023,carabineros,recursos,3
2023,carabineros,lograr,2
2023,carabineros,narcotráfico,2
2024,carabineros,labor,3
2024,carabineros,protección,3
2024,carabineros,recursos,3
2024,carabineros,lograr,2
2024,carabineros,narcotráfico,2
2014,cargo,cada,3
2014,cargo,ciencia,3
2014,cargo,conocimiento,3
2014,cargo,desarrollo,3
2014,cargo,tecnología,3
2022,cargo,cada,6
2022,cargo,ciencia,6
2022,cargo,conocimiento,6
2022,cargo,desarrollo,6
2022,cargo,tecnología,6
2023,cargo,cada,6
2023,cargo,ciencia,6
