source,target,peso
estrategia,litio,12
extender,vamos,12
fuerzas,ley,12
innovación,productiva,12
innovación,sólo,12
innovación,trabajadores,12
internet,número,12
internet,personas,12
internet,tecnologías,12
materia,modernizar,12
mayores,pensiones,12
mejorar,mundo,12
mejorar,proyecto,12
modernizar,rostro,12
modernizar,siglo,12
mundo,puerto,12
mundo,sistema,12
mundo,través,12
mundo,vida,12
promover,sociedad,12
puerto,través,12
público,través,12
recursos,regiones,12
red,través,12
respeto,vamos,12
salud,vamos,12
tiempos,vamos,12
acceso,además,11
acceso,avanzar,11
acceso,fortalecer,11
acceso,mundo,11
acceso,través,11
actual,mejorar,11
actual,sistema,11
además,ampliar,11
además,congreso,11
además,mejorar,11
además,permitirá,11
además,red,11
aeropuertos,digital,11
agua,embalses,11
agua,plan,11
agua,recursos,11
américa,latina,11
atención,salud,11
avanzar,mejorar,11
cable,fibra,11
cable,óptica,11
cada,calidad,11
cada,ley,11
calidad,defensa,11
calidad,intereses,11
calidad,parques,11
calidad,protección,11
calidad,tiempos,11
ciudadanos,materia,11
ciudadanos,mundo,11
ciudadanos,servicios,11
civil,eficacia,11
civil,sistema,11
congreso,ello,11
congreso,innovación,11
congreso,materia,11
constituye,desarrollo,11
crea,ley,11
creación,innovación,11
cultura,mundo,11
datos,digital,11
debemos,ley,11
desarrollo,empresas,11
desarrollo,montt,11
desarrollo,trabajo,11
digital,fibra,11
digital,información,11
digital,nueva,11
digital,pone,11
digital,probidad,11
digital,revolución,11
digital,servicios,11
digital,tecnología,11
digital,óptica,11
dos,innovación,11
economía,productividad,11
educación,mejorar,11
ello,infraestructura,11
ello,ley,11
ello,personas,11
empleos,emprendimiento,11
empresa,tecnología,11
especial,plan,11
fibra,montt,11
fin,vamos,11
fortalecer,promover,11
fuerzas,protección,11
fuerzas,respeto,11
fuerzas,tiempos,11
información,sociedad,11
innovación,ministerio,11
innovación,oportunidades,11
internet,programa,11
investigación,mundo,11
ley,tecnología,11
litio,salares,11
materia,mundo,11
mejorar,muchas,11
mejorar,protección,11
mejorar,puedan,11
mejorar,pública,11
mejores,vamos,11
modernización,través,11
modernizar,vida,11
montt,óptica,11
mundo,mundo,11
nuevas,personas,11
nuevas,santiago,11
nuevos,recursos,11
personas,sistema,11
personas,tecnología,11
profesores,red,11
programa,tecnologías,11
protección,sistema,11
proyecto,vida,11
puerto,unirá,11
puerto,williams,11
públicos,servicios,11
reforma,sistema,11
región,través,11
sistema,vida,11
tecnologías,través,11
áreas,vamos,11
acceso,deportistas,10
acceso,servicios,10
actual,fuerzas,10
además,agenda,10
además,calidad,10
además,ciudadanos,10
además,datos,10
además,materia,10
además,público,10
además,servicios,10
además,siglo,10
además,transparencia,10
agenda,congreso,10
agenda,productividad,10
agricultura,desarrollo,10
agua,inversiones,10
agua,potable,10
agua,riego,10
aguas,embalses,10
alumnos,computador,10
ampliar,ley,10
ampliar,proyecto,10
aquí,desarrollo,10
armadas,defensa,10
armadas,ley,10
asegurar,desarrollo,10
austral,puerto,10
avanzar,fortalecer,10
avanzar,fuerzas,10
avanzar,hacia,10
avanzar,ley,10
avanzar,través,10
buses,eléctricos,10
cable,digital,10
cada,fuerzas,10
calidad,dentro,10
calidad,extender,10
calidad,respeto,10
calidad,servicios,10
cerca,desarrollo,10
ciencia,materia,10
ciudadanos,civil,10
ciudadanos,congreso,10
ciudadanos,puedan,10
ciudadanos,públicos,10
ciudadanos,siglo,10
ciudadanos,sistema,10
cobre,codelco,10
computadores,escuelas,10
computadores,estudiantes,10
computadores,número,10
comunales,regionales,10
comunas,digital,10
conectividad,internet,10
congreso,desarrollo,10
congreso,servicio,10
congreso,siglo,10
congreso,transparencia,10
conocimiento,sociedad,10
consejo,digital,10
crear,desarrollo,10
cultura,sociedad,10
cómo,educación,10
dentro,vamos,10
desarrollados,países,10
desarrollo,días,10
desarrollo,fundamental,10
desarrollo,minería,10
desarrollo,social,10
desarrollo,tecnológico,10
desarrollo,valor,10
digital,exige,10
digital,hacia,10
educación,ello,10
educación,profesores,10
ello,materia,10
ello,regiones,10
eléctrica,energía,10
emprendimiento,productividad,10
energética,energía,10
energía,queremos,10
enlaces,red,10
especial,promover,10
estaciones,metro,10
extender,fuerzas,10
fuerza,fuerzas,10
fuerzas,fuerzas,10
fuerzas,intereses,10
fuerzas,muchas,10
fuerzas,nueva,10
fuerzas,parques,10
fuerzas,públicos,10
fuerzas,red,10
hacia,materia,10
hacia,mundo,10
información,mundo,10
información,nuevo,10
información,sistema,10
información,vamos,10
infraestructura,mejorar,10
infraestructura,plan,10
innovación,marcha,10
innovación,proyecto,10
innovación,sector,10
innovar,libertad,10
internet,mundo,10
internet,uso,10
ley,siglo,10
ley,transparencia,10
libertad,libertad,10
línea,obras,10
materia,público,10
materia,transmisión,10
materia,transparencia,10
